Number,Binary,Trinary,Is_Prime,Prime_Position,Is_Binary_Palindrome,Is_Hammering_Number
1,1,1,False,,True,True
2,10,2,True,1.0,False,True
3,11,3,True,2.0,True,False
4,100,4,False,,False,False
5,101,5,True,3.0,True,True
6,110,6,False,,False,False
7,111,7,True,4.0,True,False
8,1000,10,False,,False,False
9,1001,11,False,,True,False
10,1010,12,False,,False,True
11,1011,13,True,5.0,False,False
12,1100,14,False,,False,False
13,1101,15,True,6.0,False,False
14,1110,16,False,,False,False
15,1111,17,False,,True,False
16,10000,20,False,,False,False
17,10001,21,True,7.0,True,False
18,10010,22,False,,False,False
19,10011,23,True,8.0,False,False
20,10100,24,False,,False,False
21,10101,25,False,,True,True
22,10110,26,False,,False,False
23,10111,27,True,9.0,False,False
24,11000,30,False,,False,False
25,11001,31,False,,False,False
26,11010,32,False,,False,False
27,11011,33,False,,True,False
28,11100,34,False,,False,False
29,11101,35,True,10.0,False,False
30,11110,36,False,,False,False
31,11111,37,True,11.0,True,False
32,100000,40,False,,False,False
33,100001,41,False,,True,False
34,100010,42,False,,False,False
35,100011,43,False,,False,False
36,100100,44,False,,False,False
37,100101,45,True,12.0,False,False
38,100110,46,False,,False,False
39,100111,47,False,,False,False
40,101000,50,False,,False,False
41,101001,51,True,13.0,False,False
42,101010,52,False,,False,True
43,101011,53,True,14.0,False,False
44,101100,54,False,,False,False
45,101101,55,False,,True,False
46,101110,56,False,,False,False
47,101111,57,True,15.0,False,False
48,110000,60,False,,False,False
49,110001,61,False,,False,False
50,110010,62,False,,False,False
51,110011,63,False,,True,False
52,110100,64,False,,False,False
53,110101,65,True,16.0,False,False
54,110110,66,False,,False,False
55,110111,67,False,,False,False
56,111000,70,False,,False,False
57,111001,71,False,,False,False
58,111010,72,False,,False,False
59,111011,73,True,17.0,False,False
60,111100,74,False,,False,False
61,111101,75,True,18.0,False,False
62,111110,76,False,,False,False
63,111111,77,False,,True,False
64,1000000,100,False,,False,False
65,1000001,101,False,,True,False
66,1000010,102,False,,False,False
67,1000011,103,True,19.0,False,False
68,1000100,104,False,,False,False
69,1000101,105,False,,False,False
70,1000110,106,False,,False,False
71,1000111,107,True,20.0,False,False
72,1001000,110,False,,False,False
73,1001001,111,True,21.0,True,False
74,1001010,112,False,,False,False
75,1001011,113,False,,False,False
76,1001100,114,False,,False,False
77,1001101,115,False,,False,False
78,1001110,116,False,,False,False
79,1001111,117,True,22.0,False,False
80,1010000,120,False,,False,False
81,1010001,121,False,,False,False
82,1010010,122,False,,False,False
83,1010011,123,True,23.0,False,False
84,1010100,124,False,,False,False
85,1010101,125,False,,True,True
86,1010110,126,False,,False,False
87,1010111,127,False,,False,False
88,1011000,130,False,,False,False
89,1011001,131,True,24.0,False,False
90,1011010,132,False,,False,False
91,1011011,133,False,,False,False
92,1011100,134,False,,False,False
93,1011101,135,False,,True,False
94,1011110,136,False,,False,False
95,1011111,137,False,,False,False
96,1100000,140,False,,False,False
97,1100001,141,True,25.0,False,False
